,Before Tuning,After Tuning
Accuracy,0.9649122807017544,0.9649122807017544
Precision,1.0,1.0
Recall,0.9047619047619048,0.9047619047619048
F1-Score,0.95,0.95
ROC-AUC,0.9965277777777778,0.9973544973544973
