,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.9736842105263158,0.975609756097561,0.9523809523809523,0.963855421686747,0.996362433862434
Decision Tree,0.956140350877193,1.0,0.8809523809523809,0.9367088607594937,0.9404761904761905
Random Forest,0.9649122807017544,1.0,0.9047619047619048,0.95,0.9965277777777778
Gradient Boosting,0.9649122807017544,1.0,0.9047619047619048,0.95,0.996031746031746
SVM,0.9649122807017544,0.975,0.9285714285714286,0.9512195121951219,0.9930555555555556
KNN,0.9298245614035088,0.9722222222222222,0.8333333333333334,0.8974358974358975,0.9738756613756614
Naive Bayes,0.9122807017543859,0.9,0.8571428571428571,0.8780487804878049,0.9857804232804234
